Estado,Ano,Mes,Internacoes
AC,2016,1,273
AC,2016,2,206
AC,2016,3,245
AC,2016,4,348
AC,2016,5,349
AC,2016,6,347
AC,2016,7,381
AC,2016,8,332
AC,2016,9,244
AC,2016,10,268
AC,2016,11,229
AC,2016,12,287
AC,2017,1,270
AC,2017,2,273
AC,2017,3,284
AC,2017,4,256
AC,2017,5,275
AC,2017,6,261
AC,2017,7,255
AC,2017,8,231
AC,2017,9,224
AC,2017,10,216
AC,2017,11,203
AC,2017,12,202
AC,2018,1,227
AC,2018,2,217
AC,2018,3,276
AC,2018,4,317
AC,2018,5,396
AC,2018,6,384
AC,2018,7,349
AC,2018,8,311
AC,2018,9,278
AC,2018,10,247
AC,2018,11,144
AC,2018,12,186
AC,2019,1,253
AC,2019,2,232
AC,2019,3,315
AC,2019,4,349
AC,2019,5,328
AC,2019,6,266
AC,2019,7,234
AC,2019,8,285
AC,2019,9,236
AC,2019,10,279
AC,2019,11,240
AC,2019,12,235
AC,2020,1,205
AC,2020,2,239
AC,2020,3,263
AC,2020,4,179
AC,2020,5,80
AC,2020,6,96
AC,2020,7,108
AC,2020,8,147
AC,2020,9,167
AC,2020,10,193
AC,2020,11,142
AC,2020,12,167
AC,2021,1,229
AC,2021,2,219
AC,2021,3,159
AC,2021,4,191
AC,2021,5,235
AC,2021,6,253
AC,2021,7,262
AC,2021,8,253
AC,2021,9,223
AC,2021,10,234
AC,2021,11,325
AC,2021,12,391
AC,2022,1,484
AC,2022,2,216
AC,2022,3,315
AC,2022,4,507
AC,2022,5,542
AC,2022,6,505
AC,2022,7,388
AC,2022,8,303
AC,2022,9,267
AC,2022,10,293
AC,2022,11,295
AC,2022,12,286
AC,2023,1,294
AC,2023,2,274
AC,2023,3,328
AC,2023,4,417
AC,2023,5,598
AC,2023,6,693
AC,2023,7,684
AC,2023,8,533
AC,2023,9,424
AC,2023,10,491
AC,2023,11,368
AC,2023,12,316
AC,2024,1,279
AC,2024,2,306
AC,2024,3,400
AC,2024,4,529
AC,2024,5,582
AC,2024,6,592
AC,2024,7,575
AC,2024,8,413
AC,2024,9,372
AC,2024,10,276
AC,2024,11,316
AC,2024,12,301
AC,2025,1,296
AC,2025,2,278
AC,2025,3,417
AC,2025,4,463
AC,2025,5,572
AC,2025,6,488
AC,2025,7,419
AC,2025,8,362
AC,2025,9,326
AC,2025,10,346
AC,2025,11,281
AC,2025,12,264
AL,2016,1,900
AL,2016,2,777
AL,2016,3,1076
AL,2016,4,1199
AL,2016,5,1312
AL,2016,6,1471
AL,2016,7,1462
AL,2016,8,1318
AL,2016,9,1108
AL,2016,10,1095
AL,2016,11,968
AL,2016,12,945
AL,2017,1,1017
AL,2017,2,894
AL,2017,3,1140
AL,2017,4,1227
AL,2017,5,1577
AL,2017,6,1548
AL,2017,7,1387
AL,2017,8,1344
AL,2017,9,1077
AL,2017,10,1121
AL,2017,11,1000
AL,2017,12,949
AL,2018,1,849
AL,2018,2,717
AL,2018,3,956
AL,2018,4,1216
AL,2018,5,1554
AL,2018,6,1442
AL,2018,7,1243
AL,2018,8,1212
AL,2018,9,1071
AL,2018,10,1051
AL,2018,11,885
AL,2018,12,828
AL,2019,1,926
AL,2019,2,801
AL,2019,3,975
AL,2019,4,1219
AL,2019,5,1451
AL,2019,6,1142
AL,2019,7,1182
AL,2019,8,1053
AL,2019,9,1025
AL,2019,10,1122
AL,2019,11,984
AL,2019,12,877
AL,2020,1,873
AL,2020,2,804
AL,2020,3,847
AL,2020,4,584
AL,2020,5,484
AL,2020,6,516
AL,2020,7,628
AL,2020,8,707
AL,2020,9,630
AL,2020,10,774
AL,2020,11,698
AL,2020,12,593
AL,2021,1,651
AL,2021,2,693
AL,2021,3,690
AL,2021,4,767
AL,2021,5,959
AL,2021,6,902
AL,2021,7,954
AL,2021,8,805
AL,2021,9,780
AL,2021,10,850
AL,2021,11,750
AL,2021,12,783
AL,2022,1,1076
AL,2022,2,642
AL,2022,3,922
AL,2022,4,931
AL,2022,5,1134
AL,2022,6,1246
AL,2022,7,1085
AL,2022,8,1072
AL,2022,9,994
AL,2022,10,1050
AL,2022,11,1016
AL,2022,12,817
AL,2023,1,779
AL,2023,2,688
AL,2023,3,1031
AL,2023,4,1040
AL,2023,5,1224
AL,2023,6,1204
AL,2023,7,1018
AL,2023,8,1069
AL,2023,9,945
AL,2023,10,974
AL,2023,11,800
AL,2023,12,634
AL,2024,1,583
AL,2024,2,557
AL,2024,3,911
AL,2024,4,1160
AL,2024,5,1299
AL,2024,6,1076
AL,2024,7,978
AL,2024,8,891
AL,2024,9,986
AL,2024,10,890
AL,2024,11,834
AL,2024,12,707
AL,2025,1,624
AL,2025,2,601
AL,2025,3,875
AL,2025,4,903
AL,2025,5,1099
AL,2025,6,1336
AL,2025,7,1244
AL,2025,8,1100
AL,2025,9,1033
AL,2025,10,955
AL,2025,11,741
AL,2025,12,428
AM,2016,1,928
AM,2016,2,783
AM,2016,3,1218
AM,2016,4,1551
AM,2016,5,1879
AM,2016,6,1957
AM,2016,7,1397
AM,2016,8,1092
AM,2016,9,904
AM,2016,10,1058
AM,2016,11,896
AM,2016,12,883
AM,2017,1,1009
AM,2017,2,1094
AM,2017,3,1417
AM,2017,4,1880
AM,2017,5,2183
AM,2017,6,1775
AM,2017,7,1311
AM,2017,8,1257
AM,2017,9,982
AM,2017,10,976
AM,2017,11,993
AM,2017,12,1030
AM,2018,1,1095
AM,2018,2,1106
AM,2018,3,1441
AM,2018,4,1565
AM,2018,5,1917
AM,2018,6,1821
AM,2018,7,1543
AM,2018,8,1441
AM,2018,9,1198
AM,2018,10,1160
AM,2018,11,988
AM,2018,12,1004
AM,2019,1,1052
AM,2019,2,1567
AM,2019,3,2252
AM,2019,4,1743
AM,2019,5,1497
AM,2019,6,1390
AM,2019,7,1304
AM,2019,8,1402
AM,2019,9,1096
AM,2019,10,1334
AM,2019,11,1134
AM,2019,12,1153
AM,2020,1,1105
AM,2020,2,1096
AM,2020,3,1380
AM,2020,4,888
AM,2020,5,615
AM,2020,6,549
AM,2020,7,778
AM,2020,8,829
AM,2020,9,769
AM,2020,10,881
AM,2020,11,1091
AM,2020,12,1273
AM,2021,1,1674
AM,2021,2,1032
AM,2021,3,968
AM,2021,4,1087
AM,2021,5,1111
AM,2021,6,1144
AM,2021,7,1256
AM,2021,8,1206
AM,2021,9,1235
AM,2021,10,1481
AM,2021,11,1514
AM,2021,12,2038
AM,2022,1,1842
AM,2022,2,1148
AM,2022,3,1827
AM,2022,4,2114
AM,2022,5,2243
AM,2022,6,2041
AM,2022,7,1962
AM,2022,8,1726
AM,2022,9,1526
AM,2022,10,1367
AM,2022,11,1273
AM,2022,12,1335
AM,2023,1,1337
AM,2023,2,1462
AM,2023,3,2043
AM,2023,4,2617
AM,2023,5,3070
AM,2023,6,3126
AM,2023,7,2654
AM,2023,8,2177
AM,2023,9,1601
AM,2023,10,1582
AM,2023,11,1465
AM,2023,12,1261
AM,2024,1,1264
AM,2024,2,1207
AM,2024,3,1805
AM,2024,4,2251
AM,2024,5,2953
AM,2024,6,2843
AM,2024,7,1937
AM,2024,8,1883
AM,2024,9,1678
AM,2024,10,1691
AM,2024,11,1697
AM,2024,12,1651
AM,2025,1,1791
AM,2025,2,1566
AM,2025,3,2180
AM,2025,4,2292
AM,2025,5,2249
AM,2025,6,2474
AM,2025,7,2465
AM,2025,8,2347
AM,2025,9,2029
AM,2025,10,2099
AM,2025,11,1737
AM,2025,12,1301
AP,2016,1,130
AP,2016,2,123
AP,2016,3,272
AP,2016,4,367
AP,2016,5,388
AP,2016,6,421
AP,2016,7,322
AP,2016,8,233
AP,2016,9,207
AP,2016,10,207
AP,2016,11,159
AP,2016,12,147
